"Symbol","StkShortName","IPODate","Ownership","DelistedDate","Board","IndustryNameB","IndustryCodeB","IndustryNameA","IndustryCodeA","RegisterCapital","BusinessScope"
"000027","深圳能源","1993-09-03","国营或国有控股","","主板","电力、热力生产和供应业","D44","工业","0005","2642994398","(一)各种常规能源和新能源的开发、生产、购销;(二)投资和经营与能源相关的原材料的开发和运输、港口、码头和仓储工业等;(三)投资和经营与能源相配套的地产、房产业和租赁等产业;(四)投资和经营能提高能源使用效益的高科技产业;(五)经营和进出口本公司能源项目所需的成套设备、配套设备、机具和交通工具等;(六)各种能源工程项目的设计、施工、管理和经营,以及与能源工程相关的人员培训、咨询及其他相关服务业务;(七)环保技术的开发、转让和服务;(八)物业管理、自有物业租赁;(九)在合法取得的地块上从事单项房地产开发经营;(十)从事信息系统运营维护,系统集成,软件开发等信息技术服务,及信息技术相关产品设备的销售与租赁(含计算机软硬件、电子产品、耗材、办公设备等);(十一)能提高社会、经济效益的其他业务。"
"000028","国药一致","1993-08-09","国营或国有控股","","主板","批发业","F51","商业","0006","288149400","中成药、化学原料药、化学药制剂、抗生素原料药、抗生素制剂、生化药品、生物制品（含疫苗和体外诊断试剂）、第二类精神药品（制剂）、麻醉药品、第一类精神药品（区域性批发企业）、医疗用毒性药品、蛋白同化制剂、肽类激素的批发；保健食品经营；药用包装材料及医药工业产品研究与开发、咨询服务；投资兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专控、专卖商品）；救护车销售；Ⅲ类6877介入器材,Ⅱ类6820普通诊察器械,Ⅱ类、Ⅲ类6822医用光学器具、仪器及内窥镜设备,Ⅱ类、Ⅲ类6828医用磁共振设备,Ⅱ类、Ⅲ类6833医用核素设备,Ⅱ类、Ⅲ类6845体外循环及血液处理设备,Ⅱ类、Ⅲ类6863口腔科材料,Ⅱ类、Ⅲ类6865医用缝合材料及粘合剂,Ⅱ类6803神经外科手术器械,Ⅱ类6806口腔科手术器械,Ⅱ类、Ⅲ类6826物理治疗及康复设备,Ⅱ类6831医用X射线附属设备及部件,Ⅱ类、Ⅲ类6840临床检验分析仪器,Ⅱ类、Ⅲ类6854手术室、急救室、诊疗室设备及器具,Ⅱ类6856病房护理设备及器具,Ⅱ类6857消毒和灭菌设备及器具,Ⅱ类、Ⅲ类6864医用卫生材料及敷料,Ⅱ类、Ⅲ类6870软件,Ⅱ类6812妇产科用手术器械,Ⅱ类、Ⅲ类6807胸腔心血管外科手术器械,Ⅱ类6808腹部外科手术器械,Ⅱ类6810矫形外科(骨科)手术器械,Ⅱ类、Ⅲ类6823医用超声仪器及有关设备,Ⅱ类6801基础外科手术器械,Ⅱ类6809泌尿肛肠外科手术器械,Ⅱ类、Ⅲ类6815注射穿刺器械,Ⅱ类、Ⅲ类6821医用电子仪器设备,Ⅱ类、Ⅲ类6824医用激光仪器设备,Ⅱ类、Ⅲ类6825医用高频仪器设备,Ⅱ类6827中医器械,Ⅱ类、Ⅲ类6830医用X射线设备,Ⅱ类、Ⅲ类6832医用高能射线设备,Ⅲ类6834医用射线防护用品、装置,Ⅱ类6841医用化验和基础设备器具,Ⅱ类、Ⅲ类6846植入材料和人工器官,Ⅱ类6855口腔科设备及器具,Ⅱ类、Ⅲ类6858医用冷疗、低温、冷藏设备及器具,Ⅱ类、Ⅲ类6866医用高分子材料及制品；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。"
"000029","深深房A","1993-09-15","国营或国有控股","","主板","房地产业","K70","房地产","0003","1011660000","(一)房地产开发及商品房租赁、销售；(二)经营管理停车场；(三)承接各类建筑设计、工程建设监理、建材购销、楼宇机电设  备安装、维修、建筑装饰、园林绿化、楼宇代建、物业管理、进出口贸易和国内贸易；（四）饮食服务业、旅馆业、旅游业、国内商贸业、物资供销业、电力生产、交通运输、工业、仓储、医疗卫生、投资等；（五）公司董事会决定，并经公司登记机关批准的其他业务。"
"000030","富奥股份","1993-09-29","国营或国有控股","","主板","汽车制造业","C36","工业","0005","1810552111","汽车零部件及相关产品的研发、设计、制造、销售及售后服务;进出口业务;设备及工艺装备的设计、制造及相关服务;租赁业务、物业服务业务;仓储和配送业务及相关服务。"
"000031","大悦城","1993-10-08","国营或国有控股","","主板","房地产业","K70","房地产","0003","1813731596","房地产开发经营；国内商业、物资供销业（不含专营、专卖、专控商品）；建筑技术咨询，进出口按“深贸审证字第294号审证字第294号审定证书”办。"
"000032","深桑达A","1993-10-28","国营或国有控股","","主板","批发业","F51","商业","0006","232864320","生产通信设备(生产场地营业执照另行办理)、计算机及软件、办公自动化设备、普通机械、光机电一体化设备、电子检测设备、税控设备、税控收款机（不含限制项目）；半导体照明产品的购销；国内商业、物资供销业(不含专营、专卖、专控商品）；进出口业务按深贸管审证字第523号外贸企业审定证书规定办理；在合法取得使用权的土地上从事房地产开发经营，物业管理及自有物业租赁；兴办实业（具体项目另行申请）。"
"000033","新都退","1994-01-03","私营企业","2017-07-07","主板","住宿业","H61","商业","0006","329402050","经营酒店及酒店附属车辆服务、自有场地出租、康乐设施、停车场、洗车美容、在酒店内经营餐厅、美容美发（不含医学整容业务），桑拿按摩业务。【在新都酒店地下一层经营桑拿按摩业务，并同意其设立一家经营该业务的非独立法人分支机构；在罗湖区建设路新都酒店南侧设立非法人分支机构，经营新都停车场；在深圳市罗湖区建设路一号5、6楼设立非法人分支机构；经营卡拉OK、歌舞厅（不含的士高），从事自由物业出租（具体项目由分公司及分支机构经营）】"
"000034","神州数码","1994-05-09","私营企业","","主板","批发业","F51","商业","0006","654070434","国内商业、物资供销业（不含专营、专控、专卖商品）。进出口业务（按深贸管审证字056号文办理），食用动物、肉类加工、果树种植、畜用药。开发、生产销售无绳电话机、多功能电话机、遥控器、电子智能学习机、电话注塑配件、电视机塑胶配件；通信设备、电子、计算机配件的技术开发；进出口业务（按资格证书办理）；计算机软件、信息技术、系统集成、办公自动化、综合布线技术的研发（不含限制项目）；生产机电一体化产品。购销饲料、农副产品、浓缩饲料添加剂（以上不含专营专卖、专控商品）；兴办种、养殖业（不含限制项目）。在深圳市范围内从事房地产开发经营业务；兴办实业（具体项目另行审批）。"
"000035","中国天楹","1994-04-08","私营企业","","主板","生态保护和环境治理业","N77","公用事业","0002","2523777297","生活垃圾焚烧发电及蒸汽生产,自产产品销售,危险废弃物处理(前述所有范围权限仅限分支机构经营);生活垃圾焚烧发电、可再生能源项目及环保设施的投资、开发;污泥处理、餐厨垃圾处理、建筑垃圾处理、污水处理、大气环境治理、噪声治理、土壤修复;垃圾焚烧发电成套设备、环保成套设备的研发、生产、销售;填埋气开发与利用;垃圾分类收运体系投资与运营;企业管理咨询服务;自营和代理上述商品和技术的进出口业务;道路普通货物运输;生活垃圾经营性清扫、收集、运输、处理服务;道路清扫保洁;河道保洁、绿化管护;物业管理。(不得以公开方式募集资金;不得公开交易证券类产品和金融衍生品;不得发放贷款;不得从事融资性担保;不得向投资者承诺投资本金不受损失或者承诺最低收益;依法须经批准的项目,经相关部门批准后方可开展经营活动)。"
"000036","华联控股","1994-06-17","私营企业","","主板","房地产业","K70","房地产","0003","1141487712","投资兴办实业(具体项目另行申报)；国内商业、物资供销业务(不含专营、专控、专卖商品)；在具有合法土地使用权的地块上从事房地产开发、经营；自有物业管理；房地产经纪(不含限制项目)。"
"000037","深南电A","1994-07-01","中外合资","","主板","电力、热力生产和供应业","D44","工业","0005","602762596","供电、供热，提供相关技术咨询和技术服务。"
"000038","深大通","1994-08-08","私营企业","","主板","商务服务业","L72","公用事业","0002","96227998","房地产开发、经营；国内贸易（不含专营、专控、专卖商品）；兴办实业（具体项目另行申报），计算机软硬件开发及销售；经营进出口业务（具体按照深贸管准证字第2003-3670号资格证书办理）。"
"000039","中集集团","1994-03-23","中外合资","","主板","金属制品业","C33","工业","0005","2662396051","制造修理集装箱及其有关业务，利用该公司现有设备加工制造各类零部件结构件和有关设备，并提供以下加工服务：切割、冲压成型、铆接、表面处理，包括喷沙喷漆、焊接和装配；集装箱租赁。"
"000040","东旭蓝天","1994-08-08","私营企业","","主板","电力、热力生产和供应业","D44","工业","0005","469593364","房地产开发与经营；投资兴办实业（具体项目另行申报）；仓储；物业管理。"
"000042","中洲控股","1994-09-21","国营或国有控股","","主板","房地产业","K70","房地产","0003","239463040","房地产开发及商品房销售、管理；承接建筑安装工程；自有物业租赁。"
"000043","中航善达","1994-09-28","国营或国有控股","2019-12-13","主板","房地产业","K70","房地产","0003","666961416","(一)开办商场、宾馆、餐厅,经营旅游服务业;(二)兴办工业和高新技术产业;(三)开办生产资料批发市场;(四)开展科技交流活动,进行技术贸易,提供科技、经济和法律咨询、代理服务;(五)经营贸易:电子计算机、机械电器设备、五金交电、家用电器、文化办公用品、化工原料、日用百货、金属材料、建筑材料、针纺织品、棉麻、中成药、西药、原料药、保健药品、医疗器械、土产品、粮油食品、果菜;(六)举办各种产品展销;(七)经营公司自有房产并对外承接楼宇及其配套设备的管理与维修;(八)开办仓储业和运输业;(九)从事各类投资;(十)房地产开发、经营;(十一)劳动派遣。"
"000045","深纺织A","1994-08-15","国营或国有控股","","主板","计算机、通信和其他电子设备制造业","C39","工业","0005","336521849","生产、加工纺织品、针织品、服装、装饰布、带、商标带、工艺品（不含限制项目）；百货、纺织工业专用设备，纺织器材及配件、仪表、标准件、纺织原材料、染料、电子产品，化工产品、机电设备、轻纺产品、办公用品及其他国内商业、物资供销业（不含专营、专控、专卖商品）；进出口业务按深贸管审证字第034号文件规定办理。"
"000046","泛海控股","1994-09-12","私营企业","","主板","其他金融业","J69","金融","0001","4557311768","承办国内外投资开发项目；经营房地产业务及物业管理；投资兴办实业（具体项目另行申报）；资产管理；建筑设备、建筑装饰材料的购销；自有物业租赁。"
"000047","ST 中侨","1994-10-21","私营企业","2003-05-30","主板","房地产业","K70","房地产","0003","120404582","制造、加工机械设备、电子产品、新型材料、纺织品、服装、建筑材料；国内商业、物资供销业（不含专营、专控、专卖商品）；开发激光技术；生物工程技术；经济信息咨询。"
"000048","京基智农","1994-11-01","私营企业","","主板","农副食品加工业","C13","工业","0005","402491731","养殖鸡、鸡苗、禽蛋、生产制造肉制品、饮料、鸡场设备、自酿啤酒、兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专控、专卖商品）；在合法取得的土地上从事房地产开发经营；货物及技术进出口；房屋租赁。"
"000049","德赛电池","1995-03-20","国营或国有控股","","主板","电气机械及器材制造业","C38","工业","0005","136829160","无汞碱锰电池、一次锂电池、锌空气电池、镍氢电池、锂聚合物电池、燃料电池及其他种类电池、电池材料、配件和设备的研究、开发和销售；电源管理系统和新型电子元器件的开发、测试及销售；移动通讯产品及配件的开发及销售；高科技项目开发、投资、咨询，高科技企业投资。"
"000050","深天马A","1995-03-15","国营或国有控股","","主板","计算机、通信和其他电子设备制造业","C39","工业","0005","2457747661","制造销售各类液晶显示器及与之相关的材料、设备和产品；普通货运；货物与技术的进出口。"
"000055","方大集团","1995-11-29","私营企业","","主板","金属制品业","C33","工业","0005","756909905","生产经营新型建筑材料、复合材料、金属制品、金属结构、环保设备及器材、公共安全防范设备、冶金设备、光机电一体化产品、高分子材料及产品、精细化工产品、机械设备、光电材料及器材、光电设备、电子产品及显示设备、视听设备、交通设施、各种暖通设备及产品、给排水设备、中央空调设备及其零配件、半导体材料及器件、集成电路、光源产及照明产品、设备、太阳能产品（产品不含限制项目及出口许可证管理商品）及上述产品的设计、技术开发、安装、施工、相关技术咨询和培训、自有物业管理和租赁（深圳市高新区科技南十二路方大大厦、深圳市南山区龙珠四路2号方大城）、从事深圳市高新区科技南十二路方大大厦停车场机动车停放业务、房地产开发经营、投资兴办实业（具体项目另行申报）。产品30%外销。"
"000056","皇庭国际","1995-10-30","中外合资","","主板","商务服务业","L72","公用事业","0002","220901184","从事零售商业，经营各类综合及专门零售店、连锁商业、购物中心及电子商务；从事房地产业，进行房地产投资、规划设计、装修、运营管理、物业管理及房地产营销；从事林业及林业服务业，进行林业科技研究、苗木培育、林木种植、木材采运及林产品采集，进行木材加工及人造板、木制品制造；从事租赁、商务服务业、住宿、餐饮业、居民服务业、仓储业、教育业、娱乐业等。进出口业务按深贸管审证字第012号外贸企业审定证书办理(凡属专营商品按规定办)。"
"000058","深赛格","1996-07-22","国营或国有控股","","主板","商务服务业","L72","公用事业","0002","784799010","投资电子电器产品、电子化工、计算机、兴办实业、电子信息系统、网络软件、仓储运输、贸易、酒店、物业买卖、租赁业务和其他第三产业、经营与管理电子专业市场以及国内商业。"
"000059","华锦股份","1997-01-30","国营或国有控股","","主板","石油加工、炼焦及核燃料加工业","C25","工业","0005","1200506367","无机化工产品、石油及石油化工产品生产、储存销售（以上各项试生产项目筹建）；塑料制品、建安工程、压力容器制造、普通货物运输（以上各项限分公司经营）。"
"000060","中金岭南","1997-01-23","国营或国有控股","","主板","有色金属冶炼及压延加工业","C32","工业","0005","2062940880","本公司自产的铅锌冶炼产品及其深加工产品、铅锌选矿产品及其相关技术的出口和本公司生产经营科研开发等所需的原辅材料、机械设备等商品及其相关技术的进口(按[1999]外贸证审函字第2330号文经营)。采选、冶炼、制造、加工有色金属矿产品、冶炼产品、深加工产品及综合利用产品(含硫酸、氧气、硫磺、镓、锗、电炉锌粉的生产，仅限于分支机构生产，其营业执照另行申报)；生产、制造包装物、容器(含钢提桶、塑料编织袋的生产，仅限于分支机构生产，其营业执照另行申报)；从事境外期货业务；建筑材料、机械设备及管道安装、维修；工程建设，地测勘探，科研设计，信息咨询服务，国内商业贸易、物资供应业(不含国家政策规定的专营、专控商品)；饮食、旅游(由下属机构经营)；兴办各类实业(具体项目另行申报)、物资供销业(不含专营、专卖、专控商品)；经济信息咨询服务(国家有专项规定的除外)。"
"000061","农产品","1997-01-10","国营或国有控股","","主板","商务服务业","L72","公用事业","0002","1696964131","开发、建设、经营、管理农产品批发市场(农产品批发市场的营业执照需另行申办)；经营管理市场租售业务；国内商业、物资供销业(不含专营、专控、专卖商品)；经营农产品、水产品的批发、连锁经营和进出口业务(具体经营需另行办理营业执照)；为农产品批发市场提供配套的招待所、小卖部、食店、运输、装卸、仓储、包装(具体项目营业执照另行申报)；从事信息咨询(不含法律、行政法规、国务院决定禁止及规定需审批的项目)、物业管理、酒店管理；自有物业租赁；市场投资、投资兴办实业(具体项目另行申报)。(以上涉及国家法律、行政法规、国务院决定规定需报经审批的项目，需经审批后方可经营。)"
"000062","深圳华强","1997-01-30","私营企业","","主板","批发业","F51","商业","0006","666949797","投资兴办各类实业（具体项目需另行申报）；经营国内商业、物资供销业（不含专营、专卖、专控商品）；自有物业管理、开发与租赁；经济信息咨询、服务；自有物业管理；激光头及其应用产品；计算机软硬件及系统集成；通信产品。"
"000063","中兴通讯","1997-11-18","国营或国有控股","","主板","计算机、通信和其他电子设备制造业","C39","工业","0005","4125049533","生产程控交换系统、多媒体通讯系统、通讯传输系统;研制、生产移动通信系统设备、卫星通讯、微波通讯设备、寻呼机,计算机软硬件、闭路电视、微波通信、信号自动控制、计算机信息处理、过程监控系统、防灾报警系统等项目的技术设计、开发、咨询、服务;铁路、地下铁路、城市轨道交通、公路、厂矿、港口码头、机场的有线无线通信等项目的技术设计、开发、咨询、服务(不含限制项目);电子设备、微电子器件的购销(不含专营、专控、专卖商品);承包境外及相关工程和境内国际招标工程,上述境外工程所需的设备,材料进出口,对外派遣实施上述境外工程的劳务人员;电子系统设备的技术开发和购销(不含限制项目及专营、专控、专卖商品);经营进出口业务(按贸发局核发的资格证执行);电信工程专业承包(待取得资质证书后方可经营);自有房屋租赁。公司可根据国内外市场的变化、业务发展和自身能力,经股东大会和有关政府部门批准后,依法变更经营范围和调整经营方式;新能源发电及应用系统的技术设计、开发、咨询、服务;"
"000065","北方国际","1998-06-05","国营或国有控股","","主板","土木工程建筑业","E48","房地产","0003","162437120","各类型工业、能源、交通、民用工程建设项目的施工总承包;承包境外工程及境内国际招标工程;上述境外工程所需的设备、材料出口;对外派遣实施上述境外工程所需的劳务人员;自营和代理各类商品及技术的进出口业务,但国家限定公司经营或禁止进出口的商品及技术除外;经营进料加工和“三来一补”业务;经营对销贸易和转口贸易;铝型材、铝门窗、铝制品、建筑幕墙和室内外装饰工程设计、制作、施工、机械安装及修理。"
